type,title,reference,status,description,date_lodged,date_signed,eiar,nis,parties,Latitude,Longitude
Planning Appeal,"50 Richmond Park, Monkstown, Blackrock, Co. Dublin, A94 C3N8",317518,Grant permission with revised conditions,Construction of extensions to existing dwelling,05/07/2023,20/10/2023,No,No,"Tara Gorby & Colin Kavanagh
								(Applicant); Matt and Alison Quigley
								(3rd Party Appellant)
															(Active)",53.2907018,-6.1564678
Planning Appeal,"Valhalla, 1 Strand Road, Sutton, Dublin 13, D13 A2H2",317519,Appeal withdrawn,Demolition of house. Construction of a house and all associated site works.,05/07/2023,27/09/2023,No,No,"James and Victoria McMahon
								(Applicant); James and Victoria McMahon
								(1st Party Appellant)
															(Active); James and Victoria McMahon
								(1st Party Appellant)
															(Withdrawn)",53.4097734,-6.1390464
Planning Appeal,"90 Shanliss Way, Santry, Dublin 9, D09 N8E8.",317529,Grant permission with revised conditions,Demolition of detached bungalow dwelling and ancillary buildings. Construction of 5 houses and all associated site ...,06/07/2023,06/11/2023,No,No,"Brendan O'Brien
								(Applicant); Jana Toner
								(3rd Party Appellant)
															(Active)",53.39766815,-6.252336925
Planning Appeal,"14 Hillsbrook Crescent, Dublin 12",317532,Refuse Permission,Off-street car parking space and associated hard and soft landscaping to the front garden.,07/07/2023,31/10/2023,No,No,"Emma Healy and Cian O'Sullivan
								(Applicant); Emma Healy and Cian O'Sullivan
								(1st Party Appellant)
															(Active)",53.3118712,-6.3195946178294475
Planning Appeal,"Local Centre lands, adjacent to the existing Tyrrelstown Local Centre, in the townland of Holly...",317539,Dismissed-nature of appeal/any previous permission S.138(1)(b),Construction of a primary retail unit comprised of convenience floorspace and clothing sales area.,06/07/2023,18/10/2023,No,No,"Glenveagh Homes Limited
								(Applicant); Kevin O'Brien
								(3rd Party Appellant)
															(Active)",,
Planning Appeal,"The Harbour, Loughshinny, Skerries, Co. Dublin.",317545,Grant Permissions with Conditions,Construction of 2 apartments and all associated site works.,10/07/2023,26/10/2023,No,No,"Harry Tuite
								(Applicant); Harry Tuite
								(1st Party Appellant)
															(Active)",53.5221469,-6.0824615
Planning Appeal,"Frankfort Lodge, 70 Inchicore Road, Dublin 8",317603,Refuse Permission,Change of use from workshop to residential with all associated site works.,19/07/2023,14/11/2023,No,No,"Peter Monahan
								(Applicant); Peter Monahan
								(1st Party Appellant)
															(Active)",53.34235815602684,-6.312968510147605
Planning Appeal,"Rear of 1 Woodley Park (A corner site at the junction of Woodley Park and Sweetbriar Lane), Kil...",317605,Grant permission with revised conditions,Renovations to House and all associated site works.,19/07/2023,04/12/2023,No,No,"Pauline Power
								(Applicant); Eucemia O'Leary, Mary O'Leary and Brian MacManus
								(3rd Party Appellant)
															(Active)",,
Planning Appeal,"10 Croaghpatrick Road, Navan Road, Dublin 7, D07 Y7T2.",317637,Grant permission with conditions,Modifications to the previously granted planning permission (reg. ref. 3689/21) for alterations/extensions to the e...,24/07/2023,19/12/2023,No,No,"Cathal and Anna Greene
								(Applicant); Cathal and Anna Greene
								(1st Party Appellant)
															(Active)",53.36360255303638,-6.3074989735345355
Planning Appeal,"31 Lissadel Crescent, Malahide, Co. Dublin, K36 YY80",317664,Appeal withdrawn,"Attic conversion for home office purpose, dormer roof to rear, roof light to front and 10 solar panels to front.",27/07/2023,08/12/2023,No,No,"Susan and Paul Delaney
								(Applicant); Susan and Paul Delaney
								(1st Party Appellant)
															(Active); Susan and Paul Delaney
								(1st Party Appellant)
															(Withdrawn)",53.452754156528435,-6.185588202554358
Appeal - LRD,"Units 64 & 65, Cherry Orchard Industrial Estate and Kennelsfort Road Upper, Palmerstown, Dublin...",317668,Grant permission with revised conditions,"Demolition of warehouse/factory building, construction of 127 apartments, amenity facilities, 3 no. incubator units...",27/07/2023,13/11/2023,No,No,"AAI Palmerstown Limited
								(Applicant); Dermot Keogh
															(Active); Cllr Madeleine Johansson and others; Patricia and Michael Valentine",,
Planning Appeal,"Garryowen, Spencer Villas, Glenageary, Co. Dublin, A96 X4F1 and Sunny Bank, Spencer Villas, Gle...",317725,Dismissed- Without Substance/Foundation S.138(1(a)(i)),Home improvements including construction of single storey extension and other associated works.,03/08/2023,06/12/2023,No,No,"Audrey Behan & Alan Kerr
								(Applicant); Grace Cuthbertson
								(3rd Party Appellant)
															(Active)",53.340234791729145,-6.342389431864139
Draft Map Appeal,"Aldborough House (Protected Structure), Portland Row, Dublin 1.",317764,Confirm the determination of the local authority,Inclusion of the land on the Residential Zoned Land Tax draft map.,25/04/2023,27/10/2023,No,No,"Reliance Investments Limited
															(Active)",53.355167550000004,-6.2481299170170495
Planning Appeal,"Keavan's Port, 1-5 Camden Street Upper and 49-51 Camden Street Lower, Dublin 2",317765,Appeal withdrawn S.140(1)(a),PROTECTED STRUCTURE: Construction of an acoustic barrier to provide noise mitigation within the southern courtyard.,10/08/2023,22/11/2023,No,No,"JD Wetherspoon PLC
								(Applicant); JD Wetherspoon PLC
								(1st Party Appellant)
															(Active); JD Wetherspoon PLC
								(1st Party Appellant)
															(Withdrawn)",53.3334693,-6.2651754
Supplementary Map Appeal,"City Quay, Gloucester Street South and Moss Street, Dublin 2",317778,Confirm the determination of the local authority,Inclusion of the land on the Residential Zoned Land Tax supplementary map.,11/08/2023,23/10/2023,No,No,"Ventaway Limited
															(Active)",53.3451355,-6.2387020662157
Supplementary Map Appeal,"Within the townland of Newcastle South, Newcastle, Co. Dublin.",317815,Confirm the determination of the local authority,Inclusion of the land on the Residential Zoned Land Tax supplementary map,16/08/2023,27/10/2023,No,No,"Cairn Homes Properties Ltd.
															(Active)",,
Planning Appeal,"13 Rugby Villas, Ranelagh, Dublin 6, D06 N201",317819,Appeal withdrawn S.140(1)(a),Conversion of roof space to provide residential accommodation.,17/08/2023,10/10/2023,No,No,"Emma O'Hara
								(Applicant); Emma O'Hara
								(1st Party Appellant)
															(Active); Emma O'Hara
								(1st Party Appellant)
															(Withdrawn)",53.3249022,-6.25983116
Planning Appeal,"4 Shrewsbury Hall, Shankill, Dublin 18, D18 V8C7.",317820,Grant permission with conditions,Raise portion of the roof to the front and extension to the rear.,17/08/2023,18/12/2023,No,No,"Dervla Cusack and Brendan Fitzpatrick
								(Applicant); Dervla Cusack and Brendan Fitzpatrick
								(1st Party Appellant)
															(Active)",53.228065799999996,-6.123494648789128
Appeal - LRD,"Old Bakery Site also known as 113 Phibsborough Road, Cross Guns Bridge, Phibsborough, Dublin 7,...",317840,Grant permission with conditions,"LRD: Development providing 196 apartments (118 Build to Sell and 78 Build to Rent), a community, cultural and arts ...",21/08/2023,08/12/2023,No,Yes,"Bindford Limited
								(Applicant); John Conway and the Louth Environmental Group
								(3rd Party Appellant)
															(Active); LUMRA; Bindford Limited; LUMRA
								(3rd Party Appellant); Bindford Limited
								(1st Party Appellant)",,
Supplementary Map Appeal,"Townland of Finnstown, Adamstown, Lucan, Co. Dublin",317879,Confirm the determination of the local authority,Inclusion of the land on the residential zoned land tax supplementary map,21/08/2023,27/10/2023,No,No,"Quintain Developments Ireland Limited
															(Active)",,
Compulsory Acquisition Housing Act,"Turnapin Little, Coolock, Dublin",317881,No objections Received,"Uisce Éireann Compulsory Purchase (Growth & Development Programme - Turnapin Sewer Upgrade) Order, 2023",22/08/2023,21/09/2023,No,No,"Uisce Éireann
								(Applicant); Uisce Éireann
															(Active)",53.4099195,-6.234205274731712
Pre-Application Consultation,"at Dubber and Merryfalls, Harristown Lane, St. Margaret's, County Dublin",317915,Is not Strat. Infrast. Dev.,"Proposed development of inland port uses at Dubber and Merryfalls, Harristown Lane, St. Margaret's, County Dublin",29/08/2023,09/11/2023,No,No,"Dublin Port Company
								(Applicant); Dublin Port Company
															(Active)",53.41861977682438,-6.3030673081970265
Appeal - LRD,"Milltown Park, Sandford Road, Dublin 6, D06 V9K7.",317921,Grant permission with revised conditions,LRD - Construction of 636 apartments and associated site works. Demolition of structures on site including Milltown...,30/08/2023,19/12/2023,Yes,No,"Sandford Living Limited
								(Applicant); Norwood Park Residents Association
															(Active); Gwenda McInerney
															(Active); Cherryfield Avenue Residents' Association; Eglinton Residents Association
															(Invalid); Eglinton Residents Association
															(Active); Cherryfield Avenue Residents' Association
								(3rd Party Appellant); Norwood Park Residents Association
								(3rd Party Appellant)
															(Active); Gwenda McInerney
								(3rd Party Appellant)
															(Active); Eglinton Residents Association
								(3rd Party Appellant)
															(Invalid)",53.320007,-6.2442326
Supplementary Map Appeal,"Lands at Sandford Road, Ranelagh, Dublin 4",317924,Confirm the determination of the local authority,Inclusion of lands on Supplementary Residential Zoned Land Map,31/08/2023,20/10/2023,No,No,"Sandford Living Limited
															(Active)",,
Supplementary Map Appeal,"Land fronting onto Fingal Place to rear of 9 - 10 Prussia Street, Dublin 7",317926,Confirm the determination of the local authority,Inclusion of the land on the Residential Zoned Land Tax supplementary map.,01/09/2023,19/10/2023,No,No,"Kevin Cronin and Pearse Sutton
															(Active)",,
Supplementary Map Appeal,"Unit 1, Zenith Building, Spindrift Avenue, Royal Canal Park, Dublin 15 D15 DKW4",317928,Confirm the determination of the local authority,Inclusion of lands on Supplementary Residential Zoned Land Map,30/08/2023,23/10/2023,No,No,"Ballymore
															(Active)",53.4151863,-6.381305384820345
Supplementary Map Appeal,"Independent House, 87-93 Middle Abbey Street, Dublin 1",317929,Confirm the determination of the local authority,Inclusion of the land on the Residential Zoned Land Tax supplementary map.,01/09/2023,23/10/2023,No,No,"Primark Limited
															(Active); Primark Limited
								(1st Party Appellant)
															(Active)",53.3483461,-6.261316545660118
Supplementary Map Appeal,"One Royal Canal House,  Royal Canal Park, Dublin 15  D15 DKW4",317930,Confirm the determination of the local authority,Inclusion of lands on Supplementary Residential Zoned Land Map,30/08/2023,23/10/2023,No,No,"Ballymore
															(Active)",53.362027049999995,-6.2707363045619555
Appeal - LRD,"No. 86 and Nos. 90-96 Jamestown Road, Inchicore, Dublin 8 (www.jamestownroadlrd.ie)",317935,Grant permission with revised conditions,LRD - Construction of 128 apartments and all associated site works.,01/09/2023,19/12/2023,No,No,"Donard Properties Limited
								(Applicant); Donard Properties Limited
															(Active); Residents of Upper Jamestown Road
															(Active); Donard Properties Limited
								(1st Party Appellant)
															(Active); Residents of Upper Jamestown Road
								(3rd Party Appellant)
															(Active)",,
Supplementary Map Appeal,"42A Parkgate Street, Dublin 8",317946,Confirm the determination of the local authority,Inclusion of the land on the Residential Zoned Land Tax supplementary map.,01/09/2023,19/10/2023,No,No,"The Davy Platform ICAV
															(Active)",53.348065389832165,-6.29384830055206
Supplementary Map Appeal,"Crumlin Shopping Centre, Crumlin Road, Dublin 12",317947,Confirm the determination of the local authority,Inclusion of the land on the Residential Zoned Land Tax supplementary map,01/09/2023,20/10/2023,No,No,"Better Value Unlimited Company
															(Active)",53.330216199999995,-6.301409881002391
Supplementary Map Appeal,"40-48 Back Lane, Dublin 8",317949,Confirm the determination of the local authority,Inclusion of the land on the Residential Zoned Land Tax supplementary map,01/09/2023,27/10/2023,No,No,"Redcaps Developments Ltd
															(Active)",53.3423290341765,-6.272757571959155
Supplementary Map Appeal,"Lands at Rathborne Avenue, Ashtown-Pelletstown, Dublin 15",317950,Confirm the determination of the local authority in part and set aside the determination of the local authority and allow the appeal in part,Inclusion of the land on the Residential Zoned Land Tax supplementary map.,01/09/2023,27/10/2023,No,No,"Castlethorn Developments Rathborne UC (CDR)
															(Active)",,
Referral,"1 Marywell, Churchfield, Skerries, County Dublin, K34 D744",317958,Invalid- fee S.127(1)(f),"Whether a playhouse for children of 8 cubic meters approx., located in an existing tree previously trimmed, is or i...",06/09/2023,06/09/2023,No,No,"Sean Ahern
								(1st party Referrer); Sean Ahern
								(1st party Referrer)
															(Invalid)",,
Planning Appeal,"1 Killeen Terrace, Main Street, Malahide, Co. Dublin, K36 KV57",317972,Invalid- name/address S.127(1)(b),"PROTECTED STRUCTURE: RETENTION: Conversion of an attic into a single bedroom apartment, construction of a plant roo...",07/09/2023,07/09/2023,No,No,"Tomella Limited
								(Applicant); Tomella Limited
								(1st Party Appellant)
															(Invalid)",53.4027407,-6.1602717
Appeal - LRD,Glebe House and former Glebe House Industrial Estate and the vacant site of the former Coruba H...,317979,Appeal withdrawn S.140(1)(a),"PROTECTED STRUCUTRE: construction of 152 apartments, a creche and cafe",08/09/2023,13/12/2023,No,No,"Seabren Developments Ltd and Circle VHA CLG
								(Applicant); Seabren Developments Limited
															(Withdrawn); Bethmell Limited",,
Appeal - LRD,"Balally Shopping Centre, Blackthorn Drive, Sandyford, Dublin 16",317996,Refuse Permission,Seven year permission for a Largescale Residential Development. The construction of an 2-8 storey over basement wit...,08/09/2023,13/12/2023,No,No,"Westleton Limited
								(Applicant); Westleton Limited
								(1st Party Appellant)
															(Active)",53.2765395,-6.224015387855559
Planning Appeal,"35A, Bettystown Avenue, Dublin 5",317997,Invalid-late,Construction of a first storey extension (2.4sq.M) to front.,11/09/2023,11/09/2023,No,No,"James Cronin & Anna Gygax
								(Applicant); James Cronin & Anna Gygax
								(1st Party Appellant)
															(Invalid)",53.37636530506016,-6.184864584252902
Planning Appeal,"Cranfield Place (Rear of 44 Tritonville Road), Dublin 4",317998,Appeal withdrawn,Construction of a house with all associated site works,11/09/2023,14/09/2023,No,No,"Alannah Kane and Gareth Coady
								(Applicant); Francesca Brett
								(3rd Party Appellant)
															(Active); Francesca Brett
								(3rd Party Appellant)
															(Withdrawn)",53.3367743,-6.2210982
Planning Appeal,"1A Woodcoat, Lindersfield, Burrow, Portrane, Co. Dublin",318104,Invalid- late S.127(1)(g),Replacement of a mobile home with a detached single-storey dwelling and all associated site works.,26/09/2023,26/09/2023,No,No,"Arthur McShane
								(Applicant); Arthur McShane
								(1st Party Appellant)
															(Invalid)",,
Planning Appeal,"Laurel House, 122 Ranelagh, Dublin 6, D06 W2T3",318118,Invalid- fee S.127(1)(f),"Protected structure: Change of use to Childcare facility, construction of extension and alterations with all associ...",28/09/2023,28/09/2023,No,No,"Bartholdi Limited
								(Applicant); Bartholdi Limited
								(1st Party Appellant)
															(Invalid)",,
Compulsory Acquisition Housing Act,"15 Barnwall Court, Balbriggan, Co. Dublin, K32 W838",318120,No objections Received,"Fingal County Council Compulsory Purchase (15 Barnwall Court, Balbriggan, Co. Dublin)",28/09/2023,20/10/2023,No,No,"Fingal County Council
								(Applicant); Fingal County Council
								(Planning Authority)
															(Active)",53.61602755,-6.195183384857591
Planning Appeal,"3-4 Crag Avenue, Clondalkin Industrial Estate, Clondalkin, Dublin 22",318127,Appeal withdrawn S.140(1)(a),"Alterations to development permitted under SD18A/0068, previously amended under  SD19A/0185 and SD20A/0242, and to ...",29/09/2023,07/12/2023,Yes,No,"Echelon Clondalkin DC Services Limited
								(Applicant); A and A Engineering Limited
								(3rd Party Appellant)
															(Active); A and A Engineering Limited
								(3rd Party Appellant)
															(Withdrawn)",53.33104000244276,-6.3906339288220435
Planning Appeal,"124 Templeville Drive, Templeogue, Dublin 6W",318149,Late,Demolition of dwelling and construction of four dwellings and associated site works.,03/10/2023,03/10/2023,No,No,"Barry and Susanne Coleman
								(Applicant); Barry and Susanne Coleman
								(1st Party Appellant)
															(Invalid)",53.3013351,-6.3080795
Planning Appeal,"Unit 1, The Bookend, Essex Quay, Dublin 8",318186,Invalid- grounds S.37(6)(b),Change of use to cafe and associated site works.,06/10/2023,06/10/2023,No,No,"Vikal Gurung
								(Applicant); Qumars Moradmand and Raziyeh Zarehe
								(3rd Party Appellant)
															(Invalid)",53.336994399999995,-6.3468942416896486
Planning Appeal,"70 Camden Street Lower, Dublin 2, D02 X864",318196,Invalid- name/address S.127(1)(b),"Creation of two apartments, alterations to existing apartment and alterations to shop unit and associated works.",09/10/2023,09/10/2023,No,No,"Right Click Ltd
								(Applicant); Not Given
								(3rd Party Appellant)
															(Invalid)",53.334000603730686,-6.265243338669718
Planning Appeal,"Thomas Moore Inn, 12 Aungier Street and the corner of Longford Street Little, Dublin 2",318225,Invalid- no acknowledgement of local submission S.127(1)e,"Retention: Flagpoles, advertisments and wall mounted benches",12/10/2023,12/10/2023,No,No,"Kateo Investments Ltd.
								(Applicant); Jackie Owens
								(3rd Party Appellant)
															(Invalid)",53.3405863,-6.2654253
Planning Appeal,"Unit 2, Belarmine Plaza, Belarmine Avenue, Stepaside, Dublin 18, D18 RX0T",318232,Invalid- no acknowledgement of local submission S.127(1)e,"Change of use of ground floor retail unit to funeral home, to include internal fit out, signage and all associated ...",12/10/2023,16/10/2023,No,No,"Peter Massey
								(Applicant); John Smith
								(3rd Party Appellant)
															(Invalid); John Smith
								(3rd Party Appellant)",53.26142465,-6.151258101617648
Planning Appeal,"Unit 2, Belarmine Plaza, Belarmine Avenue, Stepaside, Dublin 18, D18 RX0T",318267,Invalid- no acknowledgement of local submission S.127(1)e,"Change of use of ground floor retail unit to funeral home, to include internal fit out, signage and all associated ...",18/10/2023,20/10/2023,No,No,"Peter Massey
								(Applicant); John Smith
								(3rd Party Appellant)
															(Invalid)",53.26142465,-6.151258101617648
Planning Appeal,"18 Lansdowne Road, Ballsbridge,  Dublin 4, D04 E5C3",318270,Application declared withdrawn  S.140(2)(b),"Protected Structure: Provision of off street parking, EV charging point, new vehicular gate and associated works.",18/10/2023,30/11/2023,No,No,"David Wall
								(Applicant); David Wall
								(1st Party Appellant)
															(Active)",53.333281799999995,-6.23407709570895
Planning Appeal,"Unit 1, Marine Walk, Marine Road, Dun Laoghaire, Co. Dublin, A96 Y2H9 within the curtilage of T...",318283,Invalid- no acknowledgement of local submission S.127(1)e,The material change of use from previously approved retail use to leisure use (dance studio) with associated facili...,20/10/2023,20/10/2023,No,No,"DROP Studio Ltd
								(Applicant); Arend Jonkers and Patricia Jonkers-Driessen
								(3rd Party Appellant)
															(Invalid); Arend Jonkers and Patricia Jonkers-Driessen
								(3rd Party Appellant)",53.336994399999995,-6.3468942416896486
Planning Appeal,"49 Hollybrook Grove, Clontarf, Dublin 3, D03 E036",318349,Appeal withdrawn S.140(1)(a),"Demolition of porch, garage and sunroom. Construction of extension together with associated site works.",31/10/2023,16/11/2023,No,No,"Mary and Tom Brennan
								(Applicant); Olivia and Simon Callanan
								(3rd Party Appellant)
															(Active); Olivia and Simon Callanan
								(3rd Party Appellant)
															(Withdrawn)",53.365163689818225,-6.221832589054811
Planning Appeal,"At the rear of no. 1 The Crescent, Cooldrinagh, Lucan, Co. Dublin, K78 K0F8 and at the rear of ...",318356,Appeal withdrawn S.140(1)(a),"Construction of 2 no. three-storey, with third floor level roof terrace, three-bedroom dwellings",31/10/2023,03/11/2023,No,No,"Jean Notaro, Jim Doyle, Siobhan & Dominic Mullee
								(Applicant); Roger and Loreto Kennedy
								(3rd Party Appellant)
															(Active); Roger and Loreto Kennedy
								(3rd Party Appellant)
															(Withdrawn)",,
Referral,"36 Monastery Crescent, Clondalkin, Dublin 22.",318366,Invalid- late S.127(1)(g),"Whether the enclosure of public open space, installation of a gate from private garden to public open space and add...",27/10/2023,27/10/2023,No,No,"Paul Campbell
								(1st party Referrer); Paul Campbell
								(1st party Referrer)
															(Invalid)",53.3233896956352,-6.3842100924234515
Planning Appeal,"The Lodge, Northumberlands, Grand Canal Street Lower, Dublin 2.",318392,Invalid – Late,"Retention of a one storey, two bedroom residential unit (""The Lodge"") and associated private terrace area. ""The Lod...",06/11/2023,06/11/2023,No,No,"JOM Investments Unlimited
								(Applicant); JOM Investments Unlimited
								(1st Party Appellant)
															(Invalid)",53.316167,-6.272473561866667
Planning Appeal,"62 Shanvarna Road, Dublin 9, D09 FD36.",318420,Invalid- late S.127(1)(g),Erection of 2 no. two storey 3 bedroom detached dwelling houses and associated site works.,08/11/2023,08/11/2023,No,No,"Helen McGeough
								(Applicant); Helen McGeough
								(1st Party Appellant)
															(Invalid)",53.3902724,-6.244309556574351
Planning Appeal,"128 Silchester Park, Glenageary, Co. Dublin, A96 A3N8",318473,Invalid- no acknowledgement of local submission S.127(1)e,Demolish single-storey garage and part utility to the side of the existing house. Construct a new two-storey extens...,16/11/2023,16/11/2023,No,No,"Eoin and Nuala McCarthy
								(Applicant); Caroline Veling and David O'Connor
								(3rd Party Appellant)
															(Invalid)",53.2811582,-6.132591700000001
Disability Certificate,"Matt Talbot Court, Block A, Charles Street Great, Dublin 1.",318490,Appeal withdrawn,Appeal against conditions attached to the disability access certificate for proposed 38 apartment and duplex units.,16/11/2023,29/11/2023,No,No,"Housing and Community Services
								(Applicant); Housing and Community Services
															(Active); Housing and Community Services
															(Withdrawn)",53.35653145,-6.2546580504144895
Planning Appeal,"68 Derrynane Gardens, Sandymount, Dublin 4",318520,Invalid-late,Widen pedestrian entrance to create a vehicular entrance to facilitate off street parking and EV charging for one c...,24/11/2023,24/11/2023,No,No,"Kathryn Burns
								(Applicant); Kathryn Burns
								(1st Party Appellant)
															(Invalid)",53.338634123109244,-6.2284884393005076
Planning Appeal,"29A Martello Court, Portmarnock, Co. Dublin, D13 HY00",318536,Invalid- fee S.127(1)(f),Retention of alterations to previously approved application (ref. no. F21B/0237). Alterations include installation ...,27/11/2023,27/11/2023,No,No,"Harry Norton
								(Applicant); Harry Norton
								(1st Party Appellant)
															(Invalid)",53.434504345816194,-6.133464872769929
Planning Appeal,"2 Clarkesville Terrace, Old Lucan Road, Palmerstown, Dublin 20.",318546,Appeal withdrawn S.140(1)(a),"Demolition of an existing dwelling and the provision of a residential apartment scheme in 2 no. blocks, comprising ...",28/11/2023,05/12/2023,No,No,"John Corcoran
								(Applicant); John Corcoran
								(1st Party Appellant)
															(Active); John Corcoran
								(1st Party Appellant)
															(Withdrawn)",53.3559897,-6.3947306
Licences S89/S254(6)(A),"Bewley's Café, 78 - 79 Grafton Street, Dublin 2, D02 K033.",318548,Invalid- fee S.127(1)(f),"Section 254 street furniture licence application for 8 tables, 16 seats and 4 screens on public footpath to front o...",29/11/2023,29/11/2023,No,No,"Bewley's Café Grafton Street Limited
								(Applicant); Bewley's Café Grafton Street Limited
															(Invalid)",53.341708800000006,-6.260363405821202
Planning Appeal,"9 Ashcroft Grove, Blakestown Road, Dublin 15, D15 K6DY",318556,Invalid- fee S.127(1)(f),Retention planning permission for a self-contained granny flat measuring 26 sq. m. located to the rear of the prope...,28/11/2023,28/11/2023,No,No,"Babatunde and Abiola Taiwo
								(Applicant); Babatunde and Abiola Taiwo
								(1st Party Appellant)
															(Invalid)",53.3971793,-6.4025845
Pre-Application Consultation,"Poolbeg Peninsula and River Liffey, Dublin City",LS0024,Application for leave to appeal withdrawn,Leave to apply for substitute consent re part of runway at,18/12/2015,15/01/2024,No,No,"Dublin Port Company
								(Applicant); Dublin Port Company
															(Active); Dublin Port Company
								(Applicant)
															(Active)",,
Pre-Application Consultation,"Poolbeg Peninsula and River Liffey, Dublin City",310268,Is a Strat. Infrast. Dev.,"Development of port lands on Poolbeg Peninsula, construction of a Southern Port Access Route comprising of a new br...",14/05/2021,02/05/2024,No,No,"Dublin Port Company
								(Applicant); Dublin Port Company
															(Active); Dublin Port Company
								(Applicant)
															(Active)",,
Railway Ord. - Consultation,From East Wall Junction (to the north of Connolly Station) through to Drogheda,311802,Consultations Closed,"DART+ Coastal North (Northern Line) involving railway improvement works from Connolly Station to Drogheda Station, ...",22/10/2021,27/03/2024,No,No,"Iarnrod Eireann
								(Applicant); Iarnrod Eireann
								(Prospective Applicant)
															(Active)",,
Electricity Development Application,"Within Profile Park Business Park and partly within Grange Castle Business Park, Dublin 22.",312793,Approve with Conditions,110kV Gas Insulated Switchgear (GIS) Substation compound and 110kV transmission lines along with associated and anc...,17/02/2022,27/03/2024,Yes,No,"Vantage Data Centres DUB11 Limited
								(Applicant); Vantage Data Centres DUB11 Limited
															(Active)",,
Planning Appeal,"Lands located west of Malahide Road and north of Baskin Lane, Malahide Road, Kinsealy (also Kin...",312855,Grant Permissions with Conditions,Construction of 87 residential dwellings and 3 ground floor retail units,23/02/2022,08/04/2024,No,Yes,"Andemar Ventures Limited
								(Applicant); Andemar Ventures Limited
								(1st Party Appellant)
															(Active)",,
LA Road Dev - Application,County Dublin,313182,Approve with Conditions,BusConnects Clongriffin to City Centre Core Bus Corridor Scheme,01/04/2022,08/01/2024,Yes,Yes,"National Transport Authority
								(Applicant); National Transport Authority
								(Applicant)
															(Active); Cllr. Deirdre Heney",53.40651475,-6.286667702716778
Strategic Housing Development - Application,"Site at the former Royal Oak Public House, Finglas Road and Old Finglas Road, Glasnevin, Dublin...",313255,Refuse Perm.,103 no. Build to Rent apartments and associated site works.,07/04/2022,14/05/2024,No,Yes,"Three Castle Investments Limited
								(Applicant); Three Castle Investments Limited
															(Active); Three Castle Investments Limited
								(Applicant)
															(Active); Irish Aviation Authority; Dympna Murtagh",,
Local Authority Road CPO - Application,"Clongriffin to City Centre, County Dublin",313279,Confirm CPO without modifications,Clongriffin to City Centre Core Bus Corridor Scheme Compulsory Purchase Order 2022,08/04/2022,08/01/2024,No,No,"~National Transport Authority
								(Applicant); ~National Transport Authority
															(Active); ~National Transport Authority
								(Applicant)
															(Active)",,
Strategic Housing Development - Application,"Lands at Fosterstown North, Dublin Road/R132, Swords, Co. Dublin. (www.fosterstownnorthshd.ie)",313331,Refuse Perm.,"645 no. apartments, creche and associated site works.",14/04/2022,17/04/2024,Yes,Yes,"J Murphy (Developments) Limited
								(Applicant); J Murphy (Developments) Limited
															(Active)",53.3858109213456,-6.139167850470762
Planning Appeal,"Tolka Industrial Park, Ballyboggan Road, Dublin 11, D11 HF57.",313376,Refuse Permission,Demoliton of the existing derelict warehouse structure and ancillary outbuildings and the construction of a mixed u...,19/04/2022,22/03/2024,No,Yes,"Bartra Property (Broombridge) Limited
								(Applicant); Bartra Property (Broombridge) Limited
								(1st Party Appellant)
															(Active)",,
LA Road Dev - Application,Co. Dublin,313509,Approve with Conditions,BusConnects Belfield/Blackrock to City Centre Core Bus Corridor Scheme,06/05/2022,27/03/2024,Yes,Yes,"~National Transport Authority
								(Applicant); ~National Transport Authority
								(Applicant)
															(Active)",53.3493795,-6.2605593
Planning Appeal,"17 Richmond Avenue, Fairview, Dublin 3 (D03 TK54) and 19 Richmond Avenue, Fairview, Dublin 3 (D...",313553,Grant permission with revised conditions,The development will consist of (a) demolition of  dwelling and  steel shed to the rear and (b) construction of 2 s...,11/05/2022,19/04/2024,No,No,"Vesada Private Ltd
								(Applicant); Anne Marie Farren and others
								(3rd Party Appellant)
															(Active); John Griffin
								(3rd Party Appellant)
															(Active)",53.3640405,-6.243024
Planning Appeal,"c. 0.265 ha at 21 Monaloe Cottages, Clonkeen Road, Deansgrange, Blackrock, Dublin 18",313554,Refuse Permission,Permission for 35 dwellings and all associated site works.,11/05/2022,05/01/2024,No,No,"Kelland Homes Ltd
								(Applicant); Kelland Homes Ltd
								(1st Party Appellant)
															(Active)",53.27065665,-6.15994652324369
Local Authority Road CPO - Application,Co. Dublin,313565,Confirm CPO without modifications,"Belfield/Blackrock to City Centre Core Bus Corridor Scheme, Compulsory Purchase Order 2022",13/05/2022,27/03/2024,No,No,"National Transport Authority
								(Applicant); National Transport Authority
								(Applicant)
															(Active)",53.3493795,-6.2605593
Planning Appeal,"6 College Street, 31 Fleet Street, 7 College Street & 30 Fleet Street, Dublin 2.",313598,Grant Permissions with Conditions,"PROTECTED STRUCTURE: PERMISSION & RETENTION:
6 College Street: change of historic use from retail to  café/bar and ...",18/05/2022,31/01/2024,No,No,"Capital Estate Management Limited
								(Applicant); Capital Estate Management Limited
								(1st Party Appellant)
															(Active)",53.345670600000005,-6.257844452531431
